id,1.BT,1.PS,10.BT,10.PS,11.BT,11.PS,12.BT,12.PS,13.BT,13.PS,14.BT,14.PS,15.BT,15.PS,2.BT,2.PS,3.BT,3.PS,4.BT,4.PS,5.BT,5.PS,6.BT,6.PS,7.BT,7.PS,8.BT,8.PS,9.BT
LizaZoop_000051342,4,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0
LizaZoop_000052198,8,3,0,1,22,8,0,0,0,0,30,73,0,0,0,0,1,0,0,0,0,0,0,0,42,35,2,7,53
LizaZoop_000052571,0,1,4,9,0,3,20,17,57,40,0,0,4,1,53,57,4,4,11,28,31,45,1,5,0,2,0,0,0
LizaZoop_000057241,1,1,78,95,25,18,79,108,20,4,1079,797,13,2,972,729,12,16,20,25,1,1,49,49,306,438,56,29,6
LizaZoop_000057344,0,0,62,97,0,2,199,70,1,6,120,85,0,0,30,58,1,1,26,17,18,9,79,29,15,0,0,1,1
LizaZoop_000057495,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,17,16,4,0,0,0,0,0,0,0,0,0,0
LizaZoop_000057802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000058063,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000058832,4,9,26,47,12,30,730,615,224,114,3,4,98,15,122,426,25,2,665,722,182,183,8,21,2,3,3,3,3
LizaZoop_000059377,0,0,1,0,0,0,7,0,30,16,0,0,2,29,0,0,2,1,0,0,2,0,43,27,0,0,0,0,0
LizaZoop_000059537,4,2,20,19,3,2,45,51,146,116,21,47,182,136,63,124,4,3,132,146,371,298,1427,1429,6,1,393,473,22
LizaZoop_000060430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,55,0
LizaZoop_000060930,209,11,0,0,21,17,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,198
