id,sample_10_381,sample_15_385,sample_17_385,sample_20_390,sample_22_390,sample_25_396,sample_27_396,sample_2_369,sample_31_398,sample_32_398,sample_33_,sample_34_398,sample_36_401,sample_37_400,sample_38_401,sample_39_400,sample_42_414,sample_43_414,sample_47_416,sample_48_416,sample_52_418,sample_54_418,sample_56_420,sample_59_420,sample_5_369,sample_62_424,sample_64_424,sample_8_381,sample_BL1,sample_BL2
JI01_000012696,207,0,0,11,7,626,202,0,27,36,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0
JI01_000316019,0,0,0,0,0,1019,369,0,1409,2360,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,193,35,0,0,0
JI01_000238727,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,85,45,283,137,1264,105,40,15,39,0,0,0
JI01_000001514,69,341,89,49,111,3,18,31,89,39,104,2,1266,351,221,610,1072,198,4982,2025,1905,693,62,150,4,1911,698,81,0,0
JI01_000935933,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7164,1167,0,0,1,0,0,0
JI01_000158681,0,0,0,24,44,0,0,0,13,37,33,0,347,132,167,351,47,32,180,6,72,8,0,22,0,35,14,6,0,0
JI01_000010704,21,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,4,146,90,99,63,0,0,0,11,17,16,0,0
JI01_000445289,0,0,0,0,0,0,0,0,58,23,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000556100,0,0,0,0,0,0,0,0,0,0,0,0,80,45,0,1,0,0,108,30,0,0,0,0,0,65,8,0,0,0
JI01_000062379,0,307,69,140,362,17,6,0,266,258,65,6,529,203,122,132,339,9,232,95,1,0,22,25,0,0,0,0,0,0
JI01_000937774,0,0,0,12,12,14,12,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,10,0,0,0,0,0
JI01_000197927,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000058878,0,152,42,89,95,2,15,0,0,0,1,0,481,163,355,440,306,37,2,2,65,20,0,10,1,8,4,0,0,0
JI01_000009317,18,0,2,0,0,0,0,11303,0,0,0,0,0,0,0,0,22,5,982,391,232,115,51,28,2180,2496,1411,0,0,2
JI01_000243337,5,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
JI01_001113375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
JI01_000129772,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
JI01_000511619,0,0,0,42,28,12,31,0,15,3,41,59,105,28,44,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000000928,594,0,1,0,0,0,0,5923,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5116,5977,409,1995,238,129,0,12
JI01_000244963,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,32,0,169,73,108,45,0,0,0,57,48,0,0,0
JI01_000446064,42,0,0,31,136,23,2,0,115,265,108,0,30,27,19,41,0,0,0,0,0,0,0,0,0,0,0,100,0,0
JI01_000003856,30,6,0,1,0,1,0,35499,0,0,0,0,0,0,0,0,266,14,2732,910,5273,2802,1313,179,2670,24472,10103,2,0,14
JI01_000000098,10617,3989,103,3604,9330,16123,4521,6536,15111,18860,21687,285,4352,1410,282,285,3134,393,2984,1143,1941,1852,892,420,730,3623,1395,15703,0,17
JI01_000000866,48,9,0,1,3,0,0,27,0,0,0,0,3,0,0,0,9,0,18,4,12,6,1,0,1,3,0,51,0,0
JI01_000000716,1279,358,0,210,395,1943,416,437,795,1202,211,8,332,138,17,33,590,39,274,53,167,235,141,43,37,181,71,3897,0,0
JI01_000003235,7,0,0,0,1,0,0,0,0,0,0,0,23,11,0,0,18,0,8,12,13,87,0,0,0,14,13,1,0,0
JI01_000836469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,23,0,0,0,0,0,0,0,0
JI01_000547987,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000011615,164,102,350,73,1,5,204,0,0,5,416,59,38,4,219,290,9,166,0,122,0,40,0,13,0,0,18,0,0,0
JI01_000125169,0,6,2,9,4,0,1,95,4,1,11,0,58,18,20,32,1,0,0,0,39,17,1,0,17,20,6,0,0,0
JI01_000050493,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,9,35,100,69,28,0,0,0,18,143,0,0,0
JI01_000322861,0,0,0,0,0,130,108,0,8,25,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_001014325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0
JI01_000036660,12,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0
JI01_000050042,17,0,0,7,1,14,22,1,0,0,0,2,2,0,0,0,1,0,0,0,6,1,0,0,0,2,0,22,0,0
JI01_000002640,240,28,1,606,1407,207,88,445,234,272,19,0,91,40,16,50,355,72,897,108,2271,1002,2586,539,162,84,48,441,0,0
JI01_000001785,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,899,0,0
JI01_000686142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6,0,5,3,3,0,0,0,5,0,0,0,0
JI01_000403120,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000002361,184,0,36,896,594,60,689,0,30,31,263,76,68,11,33,68,35,5,125,40,23,36,0,0,0,11,18,536,0,0
JI01_000949463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,42,28,25,26,0,5,0,0,0,0
